icc,miss,sz,n,modname,dic1.c.truexmy,dic2.c.truexmy,waic.c.truexmy,dic1.c.xmy.lfixed,dic2.c.xmy.lfixed,waic.c.xmy.lfixed,dic1.c.xmy.mfixed,dic2.c.xmy.mfixed,waic.c.xmy.mfixed,dic1.c.xmy.lrandom,dic2.c.xmy.lrandom,waic.c.xmy.lrandom,dic1.c.xmy.mrandom,dic2.c.xmy.mrandom,waic.c.xmy.mrandom
0.1,0.2,5,25,m.my,23.86997707,23.87634758,23.89468121,23.85816379,23.86686116,23.87401847,23.92577719,23.95690237,23.97731727,24.6241968,24.75633782,24.7824961,23.98256171,23.98895886,23.98294808
0.1,0.2,5,25,c.my,24.44716932,25.0607694,24.42940222,24.45014031,23.86686116,24.45392024,24.48704706,25.12578805,24.50591726,25.05573622,25.72237139,25.21849697,24.99339769,25.66208732,24.79738104
0.1,0.2,5,25,m.xmy,30.28023964,30.261821,30.29775957,30.44830954,30.43738888,30.47442223,30.35007295,30.35357058,30.38805963,30.82627813,30.90670095,30.95293477,30.36575351,30.34251656,30.36677442
0.1,0.2,5,25,c.xmy,212.3127307,212.5858421,212.3556693,212.4189149,212.6467705,212.5763655,212.3804697,212.659912,212.3512349,223.2918422,223.6920844,223.6349614,212.3989508,212.6794793,212.3766661
0.1,0.4,5,25,m.my,24.8180651,24.8896381,24.86794162,24.89093638,24.97532496,24.94549226,24.8756183,24.95578149,24.92094734,25.23702235,25.3878174,25.37072697,25.02299709,25.12017371,25.0705628
0.1,0.4,5,25,c.my,25.70166891,26.35672514,25.62246871,25.74936903,26.41785999,25.68908333,25.79407668,26.47430297,25.71646693,25.81612028,26.52833165,25.9560012,26.50801944,27.1524231,26.19045049
0.1,0.4,5,25,m.xmy,31.31730911,31.30796598,31.35040016,31.55284571,31.54582489,31.61543582,31.44845918,31.43024194,31.48048859,31.76391646,31.81464243,31.8710304,31.49346728,31.48707867,31.50822058
0.1,0.4,5,25,c.xmy,6177.052416,6069.509646,6132.613423,6176.714427,6069.25414,6132.096451,6176.970529,6069.416718,6132.458789,6211.290343,6105.07225,6164.34464,6176.905619,6069.498283,6132.563814
0.1,0.2,15,25,m.my,41.37561703,41.37090548,41.39457621,41.42277888,41.42164369,41.43728682,41.40494039,41.39000014,41.412254,43.47421929,43.71204082,43.74040738,41.44105247,41.46216563,41.48776189
0.1,0.2,15,25,c.my,41.92846417,42.56486473,42.11819876,41.99893104,41.42164369,42.22646956,41.9527788,42.57358562,42.13165882,44.05463396,44.85206883,44.44114439,42.10286301,42.77720488,42.29989746
0.1,0.2,15,25,m.xmy,51.12621729,51.05075375,51.12166088,51.28594193,51.22093163,51.30059448,51.1505945,51.06949211,51.14022246,52.95278868,53.09003653,53.16287978,51.22177157,51.14433008,51.22848072
0.1,0.2,15,25,c.xmy,212.3538338,212.6116063,212.4068992,212.4602978,212.6675625,212.6265275,212.4284368,212.6916394,212.4164492,223.3895406,223.7456848,223.7212552,212.4302627,212.702091,212.4071738
0.1,0.4,15,25,m.my,42.57974799,42.58188301,42.61802061,42.46660984,42.46922625,42.48646229,42.68085424,42.68164409,42.70423565,44.8444587,45.14021813,45.15344535,42.58984875,42.59144915,42.61777109
0.1,0.4,15,25,c.my,43.02343675,43.6278638,43.18045752,43.02649686,43.68582316,43.21521427,43.11657569,43.71971242,43.25411227,45.35448966,46.1441194,45.79810318,43.09996475,43.68880846,43.1768457
0.1,0.4,15,25,m.xmy,51.82280622,51.71020925,51.82413179,51.82019854,51.69706343,51.7938304,51.92205983,51.80887158,51.94420446,53.70621579,53.85867783,53.94505543,51.87775363,51.75424914,51.87566394
0.1,0.4,15,25,c.xmy,212.2816283,212.5112001,212.3251615,212.384573,212.5637951,212.5251786,212.3463913,212.5790482,212.308133,223.368132,223.6849955,223.6775236,212.3455972,212.5848799,212.3057245
0.1,0.2,30,25,m.my,55.58522912,55.59996741,55.58550243,55.62771342,55.64071391,55.6321854,55.6408991,55.65990328,55.62492326,61.27930302,61.85396766,61.87501566,55.57747888,55.61218752,55.58375445
0.1,0.2,30,25,c.my,56.15988712,56.62798983,56.40397669,56.18137564,56.62993691,56.43351119,56.21998429,56.68584423,56.44019987,61.82786868,62.70235,62.56311765,56.22559118,56.727839,56.41661828
