model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
0.0000000000e+00,-2.2364087023e+01,-2.1597629805e+01,-2.2889093740e+01,-2.2294699986e+01,1.6818208838e+00,2.0942532526e+00
0.0000000000e+00,-2.5595875060e+01,-2.4420343428e+01,-2.6196797523e+01,-2.5365399297e+01,1.7874943875e+00,2.7082766763e+00
0.0000000000e+00,-2.6043404503e+01,-2.4369426274e+01,-2.6266633191e+01,-2.4978021502e+01,5.5221181737e-01,1.7405969672e+00
0.0000000000e+00,-3.0917454913e+01,-2.9622006049e+01,-3.1193537163e+01,-3.0192735131e+01,7.4619999697e-01,1.5977210869e+00
0.0000000000e+00,-2.3430591315e+01,-2.2310050182e+01,-2.3550077619e+01,-2.2745584941e+01,2.7012888996e-01,1.1805411880e+00
0.0000000000e+00,-2.3943805926e+01,-2.2762000692e+01,-2.4754995136e+01,-2.3856320766e+01,2.4861154703e+00,3.2456215613e+00
0.0000000000e+00,-2.3541659056e+01,-2.2621987685e+01,-2.3595617962e+01,-2.2966428459e+01,1.1713921648e-01,8.5670027975e-01
0.0000000000e+00,-2.3925129145e+01,-2.2668634971e+01,-2.4592185491e+01,-2.3655955138e+01,2.0298448841e+00,2.8721292125e+00
0.0000000000e+00,-2.2211828070e+01,-2.1134037662e+01,-2.2276935643e+01,-2.1536853255e+01,1.3887751348e-01,1.0744780426e+00
0.0000000000e+00,-2.3741567682e+01,-2.2793778107e+01,-2.3891252956e+01,-2.3266461938e+01,3.7036541913e-01,1.1900462829e+00
0.0000000000e+00,-2.3205855523e+01,-2.2735991331e+01,-2.3237583439e+01,-2.2925169419e+01,6.4609150043e-02,4.9736379959e-01
0.0000000000e+00,-2.7362446805e+01,-2.5726093307e+01,-2.7816131342e+01,-2.6692685246e+01,1.3525577890e+00,2.5410881529e+00
0.0000000000e+00,-2.3836763817e+01,-2.2167159275e+01,-2.4261422532e+01,-2.3031901193e+01,1.2423432899e+00,2.4618870453e+00
0.0000000000e+00,-2.6614880406e+01,-2.5624801114e+01,-2.6716185385e+01,-2.5996711035e+01,2.2030290671e-01,1.0157035132e+00
0.0000000000e+00,-3.0230081258e+01,-2.9170867087e+01,-3.0762984322e+01,-3.0033280803e+01,1.3542524616e+00,2.1732490374e+00
0.0000000000e+00,-2.4219119710e+01,-2.2961206935e+01,-2.4865883702e+01,-2.3896547803e+01,1.9200503526e+00,2.7198764390e+00
0.0000000000e+00,-2.3717150418e+01,-2.2583801380e+01,-2.4287481373e+01,-2.3417703005e+01,1.7984416327e+00,2.4620142683e+00
0.0000000000e+00,-2.7568476252e+01,-2.5700643876e+01,-2.8318333691e+01,-2.6740069013e+01,2.1645554087e+00,3.0741166243e+00
0.0000000000e+00,-2.7668000449e+01,-2.4555775469e+01,-2.8378675278e+01,-2.6605533232e+01,1.8308699779e+00,4.7431854056e+00
0.0000000000e+00,-2.3449220304e+01,-2.2033242840e+01,-2.3567932864e+01,-2.2488785591e+01,2.5110232869e-01,1.2874419012e+00
0.0000000000e+00,-2.8593309128e+01,-2.6386253247e+01,-2.9060394191e+01,-2.7482064790e+01,1.3676416551e+00,3.0178244885e+00
0.0000000000e+00,-2.5904877867e+01,-2.3554520207e+01,-2.6374215882e+01,-2.4577118269e+01,1.0762330697e+00,2.7889700176e+00
0.0000000000e+00,-2.4531179212e+01,-2.3712299435e+01,-2.5023471359e+01,-2.4348717106e+01,1.5727113681e+00,1.9335553412e+00
